Title,Author,My Rating,Binding,Date Read,Status,Genre,Read Count,Number of Pages
"Phantasma (Wicked Games, #1)",Kaylie Smith,4.5,ebook,"October 29, 2024 → October 31, 2024","read, ♡","dark, fantasy, fiction, gothic, romance",1,512
"Flock (The Ravenhood, #1)",Kate  Stewart,2,ebook,"November 11, 2024 → November 20, 2024",read,"Adult, contemporary, dark, fiction, romance",1,354
"The Songbird & the Heart of Stone (Crowns of Nyaxia, #3)",Carissa Broadbent,0,Hardcover,,,,0,431
"A Promise of Peridot (The Sacred Stones, #2)",Kate  Golden,0,Paperback,,,,0,464
"Restless Stars (Zodiac Academy, #9)",Caroline Peckham,0,,,,,0,1153
"Throne of the Fallen (Prince of Sin, #1)",Kerri Maniscalco,5,ebook,"October 4, 2023 → October 7, 2023","read, ♡","Adult, fantasy, fiction, romance",1,612
"Throne of Secrets (Prince of Sin, #2)",Kerri Maniscalco,3,ebook,"November 7, 2024 → November 9, 2024",read,"Adult, fantasy, fiction, romance",1,512
"World After (Penryn & the End of Days, #2)",Susan Ee,4,ebook,"July 2, 2021",read,"YA, dystopia, fantasy, fiction, romance",1,320
"Playing with Monsters (Playing with Monsters, #1)",Amelia Hutchins,2,ebook,"November 3, 2024 → November 6, 2024",read,"dark, fantasy, romance",1,514
"Heir (Heir Duology, #1)",Sabaa Tahir,0,Hardcover,,,,0,484
"Queen of the Dome (QOTD, #1)",Amizah R,0,,,,,0,336
"Iron Flame (The Empyrean, #2)",Rebecca Yarros,3.5,ebook,"December 15, 2023 → January 12, 2024",read,"Adult, fantasy, fiction, romance",1,623
"One Dark Window (The Shepherd King, #1)",Rachel Gillig,4,ebook,"August 11, 2025 → August 14, 2025",read,"YA, fantasy, fiction, gothic, romance",1,399
"A Monsoon Rising (The Hurricane Wars, #2)",Thea Guanzon,0,Hardcover,,,,0,400
"The Knight and the Moth (The Stonewater Kingdom, #1)",Rachel Gillig,5,ebook,"August 4, 2025 → August 8, 2025",read,"Adult, fantasy, fiction, gothic, romance",1,400
"Enchantra (Wicked Games, #2)",Kaylie Smith,4,ebook,"April 14, 2025 → April 16, 2025",read,"Adult, dark, fantasy, fiction, gothic, romance",1,448
"The Dagger and the Flame (The City of Fantome, #1)",Catherine Doyle,0,,,,,0,509
Our Infinite Fates,Laura Steven,0,Hardcover,,,,0,352
"Wings So Wicked (Golden City, #1)",Emily Blackwood,0,,,,,0,381
"Never Keep (Sins of the Zodiac, #1)",Caroline Peckham,0,ebook,"March 27, 2025",dnf,"Adult, dark, fantasy, fiction, romance",0,636
"A Touch of Gold and Madness (Celestials of Arcadia, #1)",K.L. DeVore,0,ebook,,,,0,624
"Anathema (The Eating Woods, #1)",Keri Lake,0,,,,,0,688
"Pestilence (The Four Horsemen, #1)",Laura Thalassa,0,Paperback,,,,0,416
Kill the King (A Knight's Revenge #3),Elizabeth Dear,2,ebook,"October 25, 2024 → October 28, 2024",read,"Adult, contemporary, crime, dark, romance",1,331
Seize the Castle (A Knight's Revenge #2),Elizabeth Dear,3,ebook,"October 21, 2024 → October 24, 2024",read,"Adult, contemporary, crime, dark, romance",1,304
Storm the Gates (A Knight's Revenge #1),Elizabeth Dear,4,ebook,"October 18, 2024 → October 21, 2024",read,"Adult, contemporary, crime, dark, romance",1,258
"Heartless (Chestnut Springs, #2)",Elsie Silver,3,ebook,"October 2, 2024",read,"Adult, contemporary, fiction, romance",1,476
"Flawless (Chestnut Springs, #1)",Elsie Silver,3,ebook,"September 28, 2024",read,"Adult, contemporary, fiction, romance",1,424
"Wild Love (Rose Hill, #1)",Elsie Silver,0,,,,,0,402
The Seven Year Slip,Ashley Poston,0,Paperback,,,,0,336
Lessons in Chemistry,Bonnie Garmus,0,Hardcover,,,,0,404
"Break Me (Brayshaw, #5)",Meagan Brandy,2,ebook,"September 20, 2024",read,"Adult, contemporary, dark, romance",1,490
"The Atlas Six (The Atlas, #1)",Olivie Blake,0,,,,,1,376
Vesselless (The Merciless Realms #1),Cortney L. Winn,0,,,,,0,485
A Song to Drown Rivers,Ann Liang,0,Hardcover,,,,0,325
"Reign & Ruin (Mages of the Wheel, #1)",J.D.  Evans,0,Paperback,,,,0,420
"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",Holly  Jackson,0,Paperback,,,,0,413
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,3,ebook,"August 17, 2024",read,"YA, contemporary, crime, fiction, romance",1,433
"A Shadow in the Ember (Flesh and Fire, #1)",Jennifer L. Armentrout,0,Hardcover,,,,0,647
"King of Wrath (Kings of Sin, #1)",Ana Huang,3,ebook,,read,"Adult, contemporary, dark, fiction, romance",1,398
"Play Along (Windy City, #4)",Liz Tomforde,4,ebook,"August 8, 2024",read,"Adult, contemporary, fiction, romance, sports",1,384
"Play with Me (Playing for Keeps, #2)",Becka Mack,0,Paperback,,,,0,544
"Redeeming 6 (Boys of Tommen, #4)",Chloe Walsh,4.25,ebook,"August 3, 2024",read,"Adult, contemporary, fiction, romance, sports",1,1066
"Blood of Hercules (Villains of Lore, #1)",Jasmine Mas,0,Paperback,,,,0,496
How To Build A Car,Adrian Newey,0,Hardcover,,,,0,400
Surviving to Drive,Guenther Steiner,0,Paperback,,,,0,304
Lewis Hamilton: My Story,Lewis Hamilton,0,,,,,0,290
"Better than the Movies (Better than the Movies, #1)",Lynn Painter,0,Hardcover,,,,0,356
"Saving 6 (Boys of Tommen, #3)",Chloe Walsh,4.25,ebook,"July 25, 2024",read,"Adult, contemporary, fiction, romance, sports",1,725
Know My Name,Chanel Miller,0,ebook,,,,0,384
"Butcher & Blackbird (The Ruinous Love Trilogy, #1)",Brynne Weaver,0,Paperback,,,,0,360
The Book Thief,Markus Zusak,0,,,,,0,592
"Spark of the Everflame (Kindred's Curse, #1)",Penn Cole,1,ebook,"July 12, 2024",dnf,"Adult, fantasy, fiction, romance",1,438
"Caught Up (Windy City, #3)",Liz Tomforde,4,ebook,"July 8, 2024",read,"Adult, contemporary, fiction, romance, sports",1,408
"Love Unwritten (Lakefront Billionaires, #2)",Lauren Asher,4,ebook,"June 30, 2024",read,"Adult, contemporary, fiction, romance",1,551
"Reckless (The Powerless Trilogy, #2)",Lauren  Roberts,3,Hardcover,"July 5, 2024",read,"YA, fantasy, fiction, romance",1,396
"Rewind It Back (Windy City, #5)",Liz Tomforde,4.25,ebook,"May 21, 2025 → May 26, 2025",read,"Adult, contemporary, fiction, romance, sports",1,491
"The Right Move (Windy City, #2)",Liz Tomforde,5,ebook,"July 4, 2024","read, ♡","Adult, contemporary, fiction, romance, sports",1,499
"Taming 7 (Boys of Tommen, #5)",Chloe Walsh,4.5,ebook,"April 20, 2025 → April 25, 2025",read,"Adult, YA, contemporary, fiction, romance, sports",1,464
"Keeping 13 (Boys of Tommen, #2)",Chloe Walsh,5,ebook,"August 6, 2022","read, ♡","Adult, contemporary, romance, sports",2,938
"Binding 13 (Boys of Tommen, #1)",Chloe Walsh,5,ebook,"July 23, 2022","read, ♡","Adult, contemporary, romance, sports",2,887
"The Dawn of the Cursed Queen (Gods and Monsters, #3)",Amber V. Nicole,4,ebook,"June 27, 2024","read, ♡","Adult, dark, fantasy, fiction, romance",1,581
"The Throne of Broken Gods (Gods and Monsters, #2)",Amber V. Nicole,3,ebook,"May 11, 2024 → May 19, 2024","read, ♡","dark, fantasy, fiction, romance",1,619
"The Book of Azrael (Gods and Monsters, #1)",Amber V. Nicole,4,ebook,"May 7, 2024 → May 11, 2024","read, ♡","dark, fantasy, fiction, romance",1,572
"Mile High (Windy City, #1)",Liz Tomforde,3,ebook,"June 23, 2024",read,"Adult, contemporary, romance, sports",1,603
"The Graham Effect (Campus Diaries, #1)",Elle Kennedy,0,,,,,0,498
"Redeemed (Dirty Air, #4)",Lauren Asher,4,ebook,,read,"Adult, contemporary, fiction, romance, sports",1,482
"Wrecked (Dirty Air, #3)",Lauren Asher,4,ebook,,read,"Adult, contemporary, fiction, romance, sports",1,584
"A Kiss of Iron (Shadows of the Tenebris Court, #1)",Clare Sager,0,,,,,0,610
