Title,Author,My Rating,Binding,Date Read,Status,Genre,Read Count,Number of Pages
Up in the Treehouse,K.K. Allen,1,ebook,"January 14, 2022",read,"Adult, contemporary, romance",1,0
"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,3,ebook,"February 17, 2022",read,"Adult, contemporary, fiction, romance",1,386
"The Ex Hex (The Ex Hex, #1)",Erin Sterling,3,ebook,"March 25, 2022",read,"Adult, contemporary, fantasy, fiction, romance",1,308
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,3,Paperback,,read,"biography, memoir, nonfiction",1,162
"The Beautiful (The Beautiful, #1)",Renée Ahdieh,3,ebook,"October 5, 2021",read,"YA, fantasy, fiction, historical, mystery, romance",1,425
"The Damned (The Beautiful, #2)",Renée Ahdieh,3,ebook,"October 6, 2021",read,"YA, fantasy, fiction, historical, mystery, romance",1,401
"Archenemies (Renegades, #2)",Marissa Meyer,4,ebook,"September 28, 2021",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,560
"Supernova (Renegades, #3)",Marissa Meyer,4,ebook,"September 29, 2021",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,549
The Maidens,Alex Michaelides,3,Hardcover,"August 30, 2021",read,"Adult, contemporary, crime, fiction, mystery, thriller",1,337
"Stay with Me (Stay with Me, #1)",Nicole Fiorina,3.5,ebook,"November 23, 2021",read,"Adult, dark, fiction, romance",1,359
"Celestial (Angels of Elysium, #2)",Olivia Wildenstein,4,ebook,"July 31, 2021",read,"Adult, fantasy, fiction, romance",1,528
"Mage Slave (The Enslaved Chronicles, #1)",R.K. Thorne,4,ebook,"July 7, 2021",read,"YA, fantasy, fiction, romance",1,300
Slave (Slave #1),Laura  Frances,4,ebook,"April 7, 2021",read,"YA, dystopia, fantasy, fiction, science fiction",1,323
"Corrupt (Devil's Night, #1)",Penelope Douglas,3,ebook,"August 8, 2021",read,"Adult, contemporary, dark, fiction, romance",1,460
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4,ebook,,read,"YA, fantasy, fiction",1,352
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4,ebook,"January 1, 2021",read,"YA, fantasy, fiction",1,309
"Fallen Academy: Year One (Fallen Academy, #1)",Leia Stone,3,ebook,"February 13, 2021",read,"YA, fantasy, romance",1,350
"Of the Blood (Heir of Blood and Fire, #1)",Cameo Renae,3,ebook,"February 12, 2021",read,"Adult, fantasy, romance",1,432
"The Princess Trials (The Princess Trials, #1)",Cordelia K. Castel,1,,"February 6, 2021",dnf,"YA, dystopia, fantasy, fiction, romance, science fiction",1,504
"Cast in Firelight (Wickery, #1)",Dana    Swift,3,ebook,"April 22, 2021",read,"YA, fantasy, fiction, romance",1,433
"King of Scars (King of Scars, #1)",Leigh Bardugo,4,ebook,"December 30, 2020",read,"YA, fantasy, fiction, romance",1,511
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4,ebook,,read,"YA, fantasy, fiction",1,435
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,2,ebook,"September 8, 2020",read,"nonfiction, philosophy, self help",1,296
"Sky in the Deep (Sky and Sea, #1)",Adrienne Young,3,ebook,"August 12, 2020",read,"YA, fantasy, fiction, historical, romance",1,340
"Crown of Coral and Pearl (Crown of Coral and Pearl, #1)",Mara Rutherford,3,ebook,"February 10, 2021",read,"YA, fantasy, fiction, romance",1,384
"Riden's Chapter (Daughter of the Pirate King, #1.5)",Tricia Levenseller,4,ebook,"July 26, 2020",read,"YA, fantasy, fiction, romance",1,12
"All the Stars and Teeth (All the Stars and Teeth, #1)",Adalyn  Grace,3,ebook,"July 28, 2020",read,"YA, fantasy, fiction, romance",1,380
"Daughter of the Siren Queen (Daughter of the Pirate King, #2)",Tricia Levenseller,4,ebook,,read,"YA, fantasy, fiction, romance",2,341
"Rhapsodic (The Bargainer, #1)",Laura Thalassa,1,ebook,"April 1, 2021",read,"Adult, fantasy, fiction, romance",1,326
"The Sweetest Betrayal (The Kinder Poison, #3)",Natalie Mae,0,Hardcover,,,,0,394
Final Fantasy XV Prologue Parting Ways,Square Enix,3,ebook,"June 3, 2020",read,"fantasy, fiction",1,48
"Four: A Divergent Story Collection (Divergent, #0.1-0.4)",Veronica Roth,3,Hardcover,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,285
"The Kill Order (The Maze Runner, #0.4)",James Dashner,4,Paperback,,read,"YA, dystopia, fantasy, fiction, science fiction",1,327
"The Death Cure (The Maze Runner, #3)",James Dashner,4,Paperback,,read,"YA, dystopia, fantasy, fiction, science fiction",1,325
"The Scorch Trials (The Maze Runner, #2)",James Dashner,4,Paperback,,read,"YA, dystopia, fantasy, fiction, science fiction",1,362
Paper Towns,John Green,2,Paperback,,read,"YA, contemporary, fiction, mystery, romance",1,305
"The Maze Runner (The Maze Runner, #1)",James Dashner,4,Paperback,,read,"YA, dystopia, fantasy, fiction, science fiction",1,384
"The Book of Ivy (The Book of Ivy, #1)",Amy Engel,4,ebook,"August 10, 2021",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,282
The Great Gatsby,F. Scott Fitzgerald,2,Paperback,,read,"classics, fiction, historical, literary fiction, romance",1,180
Of Mice and Men,John Steinbeck,3,Paperback,,read,"classics, fiction, historical, literary fiction",1,107
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,3,Paperback,,read,"Adult, contemporary, fiction, romance",1,403
"The Assassin and the Pirate Lord (Throne of Glass, #0.1)",Sarah J. Maas,4,ebook,,read,"YA, fantasy, fiction, romance",1,70
All the Bright Places,Jennifer Niven,3,Paperback,,read,"YA, contemporary, fiction, romance",1,388
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4,ebook,,read,"YA, fantasy, fiction, romance",1,406
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4,ebook,,read,"YA, fantasy, fiction, romance",1,420
"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,4,ebook,,read,"YA, fantasy, fiction, romance",1,448
"Fairest (The Lunar Chronicles, #3.5)",Marissa Meyer,4,Hardcover,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,272
"Illuminae (The Illuminae Files, #1)",Amie Kaufman,4,Hardcover,,read,"YA, dystopia, fantasy, fiction, romance, science fiction, thriller",1,608
"Gemina (The Illuminae Files, #2)",Amie Kaufman,4,Hardcover,,read,"YA, dystopia, fantasy, fiction, romance, science fiction, thriller",1,659
"Red, White & Royal Blue",Casey McQuiston,0,Paperback,,,,0,448
"The Serpent and the Wings of Night (Crowns of Nyaxia, #1)",Carissa Broadbent,4,ebook,"July 13, 2023",read,"Adult, fantasy, fiction, romance",1,504
Trick Me Twice (Alstone High #1),Becca Steele,3,ebook,"July 9, 2023",read,"Adult, contemporary, dark, romance, sports",1,348
"Consider Me (Playing For Keeps, #1)",Becka Mack,2,ebook,"July 7, 2023",read,"Adult, contemporary, fiction, romance, sports",1,462
Law of Attraction,Raeesah Ambarker,0,Paperback,,,,0,0
"Eyes Turned Skyward (Flight & Glory, #2)",Rebecca Yarros,3,ebook,"June 27, 2023",read,"Adult, contemporary, fiction, romance",1,342
Beyond The Story: 10-Year Record of BTS,Myeongseok Kang,0,Hardcover,,,,0,544
"Fireborne (The Aurelian Cycle, #1)",Rosaria Munda,0,Hardcover,,,,0,432
"Brother of the King Consort (QOTD, #2)",Amizah R,0,,,,,0,447
Pack Up the Moon,Kristan Higgins,0,Paperback,,,,0,480
The Museum of Modern Love,Heather     Rose,0,Paperback,,,,0,296
"Fear the Flames (Fear the Flames, #1)",Olivia Rose Darling,0,,,,,0,586
"Indigo Ridge (The Edens, #1)",Devney Perry,3,ebook,"June 14, 2023",read,"Adult, contemporary, mystery, romance",1,340
"Daughter of No Worlds (The War of Lost Hearts, #1)",Carissa Broadbent,3,ebook,"June 12, 2023",read,"Adult, fantasy, fiction, romance",1,520
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,5,Hardcover,"June 7, 2023","read, ♡","Adult, fantasy, fiction, romance",1,517
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,3,Audiobook,"September 28, 2025 → October 10, 2025",read,"biography, memoir, nonfiction",1,327
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,5,Hardcover,,"read, ♡","YA, fantasy, fiction, romance",1,561
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,5,Hardcover,,"read, ♡","YA, fantasy, fiction, romance",1,480
"Divergent (Divergent, #1)",Veronica Roth,5,Hardcover,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,487
"Air Awakens (Air Awakens, #1)",Elise Kova,5,ebook,"July 2, 2020",read,"YA, fantasy, fiction, romance",1,342
"The Kinder Poison (The Kinder Poison, #1)",Natalie Mae,5,ebook,"July 30, 2020",read,"YA, fantasy, fiction, romance",1,416
Love and Other Words,Christina Lauren,5,ebook,"December 6, 2021","read, ♡","Adult, contemporary, fiction, romance",1,432
"The Fight In Us (The Four, #4)",Becca Steele,4,ebook,"June 3, 2023",read,"Adult, contemporary, dark, romance",1,316
"The Havoc We Wreak (The Four, #3)",Becca Steele,3,ebook,"June 2, 2023",read,"Adult, contemporary, dark, romance",1,306
"Defy the Night (Defy the Night, #1)",Brigid Kemmerer,4,ebook,"May 31, 2023",read,"YA, fantasy, fiction, romance",1,448
"Bad Boys Break Hearts (The Boys, #1)",Micalea Smeltzer,3,ebook,"May 29, 2023",read,"Adult, contemporary, romance, sports",1,436
Everything I Know About Love,Dolly Alderton,0,Hardcover,,,,0,368
I'm Glad My Mom Died,Jennette McCurdy,0,ebook,,,,0,320
Beyond the Wand: The Magic & Mayhem of Growing Up a Wizard,Tom Felton,0,Hardcover,,,,0,288
Tell Me Everything,Minka Kelly,0,Hardcover,,,,0,288
Crying in H Mart,Michelle Zauner,5,Paperback,"May 26, 2023","read, ♡","Adult, biography, contemporary, memoir, nonfiction",1,239
The Half of It: A Memoir,Madison Beer,0,Hardcover,,,,0,176
Eat a Peach,David Chang,0,Hardcover,,,,0,291
The Q,Amy Tintera,3,ebook,"May 24, 2023",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,352
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,0,Hardcover,,,,0,401
The Darkness in You (The Four #6),Becca Steele,5,ebook,"May 20, 2023","read, ♡","Adult, crime, dark, romance",1,382
"Ruthless Knight (Royal Hearts Academy, #2)",Ashley Jade,3,ebook,"May 19, 2023",read,"Adult, contemporary, dark, romance, sports",1,608
The Discovery of Magic (Elementals Academy #1),Michelle Madow,2,ebook,"May 17, 2023",read,"YA, fantasy, romance",1,306
"The Secrets We Hide (The Four, #2)",Becca Steele,3,ebook,"May 16, 2023",read,"Adult, contemporary, dark, mystery, romance",1,272
"Skyhunter (Skyhunter, #1)",Marie Lu,3,Hardcover,"May 15, 2023",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,371
"The Lies We Tell (The Four, #1)",Becca Steele,4,ebook,"May 15, 2023",read,"Adult, contemporary, dark, mystery, romance",1,306
Five Survive,Holly  Jackson,0,Hardcover,,,,0,391
"Final Offer (Dreamland Billionaires, #3)",Lauren Asher,3,ebook,"March 1, 2023",read,"Adult, contemporary, fiction, romance",1,583
"Sorrow and Starlight (Zodiac Academy, #8)",Caroline Peckham,0,,,,,1,1242
"Foul Heart Huntsman (Foul Lady Fortune, #2)",Chloe Gong,0,Hardcover,,,,0,560
Waking Olivia,Elizabeth O'Roark,3,ebook,"January 22, 2023",read,"Adult, contemporary, romance, sports",1,378
"Say You Swear (Boys of Avix, #1)",Meagan Brandy,4,ebook,"January 2, 2023",read,"Adult, contemporary, fiction, romance, sports",1,681
"Cruel Prince (Royal Hearts Academy, #1)",Ashley Jade,2,ebook,"December 11, 2022",read,"YA, fantasy, fiction, romance",1,408
"Things We Never Got Over (Knockemout, #1)",Lucy Score,0,Paperback,,,,0,552
"Song of Silver, Flame Like Night (Song of the Last Kingdom, #1)",Amélie Wen Zhao,0,Hardcover,,,,0,480
"The Awakening (Zodiac Academy, #1)",Caroline Peckham,4,ebook,"January 25, 2022",read,"Adult, fantasy, fiction, romance",1,436
"Revved (Revved, #1)",Samantha Towle,2,ebook,"December 5, 2022",read,"Adult, contemporary, romance, sports",1,410
"A Thousand Boy Kisses (A Thousand Boy Kisses, #1)",Tillie Cole,4,ebook,"November 30, 2022",read,"YA, contemporary, fiction, romance",1,316
"Shadow Me (Shatter Me, #4.5)",Tahereh Mafi,4,ebook,"November 27, 2022",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,69
"Reveal Me (Shatter Me, #5.5)",Tahereh Mafi,3,ebook,"March 17, 2022",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,112
By a Thread,Lucy Score,3,ebook,"November 25, 2022",read,"Adult, contemporary, fiction, romance",1,584
Still Beating,Jennifer Hartmann,1,ebook,"November 20, 2022",read,"Adult, contemporary, dark, romance, thriller",1,314
Winning Ugly: Mental Warfare in Tennis--Lessons from a Master,Brad Gilbert,3,Paperback,"September 11, 2022",dnf,"biography, nonfiction, self help, sports",1,224
Hothouse Flower (Calloway Sisters #2),Krista Ritchie,4,ebook,,read,"Adult, contemporary, fiction, romance",1,479
"Immortal Longings (Flesh and False Gods, #1)",Chloe Gong,0,Hardcover,,,,0,372
"Kingdom of the Feared (Kingdom of the Wicked, #3)",Kerri Maniscalco,4,ebook,"October 14, 2022",read,"Adult, fantasy, romance",1,417
"Princess of Souls (Hundred Kingdoms, #2)",Alexandra Christo,0,,,,,0,352
Before We Were Strangers,Renee Carlino,0,Paperback,,,,0,310
"The Naturals (The Naturals, #1)",Jennifer Lynn Barnes,0,Hardcover,,,,0,308
"Incendiary (Hollow Crown, #1)",Zoraida Córdova,3,Hardcover,"September 9, 2022",read,"YA, fantasy, fiction, historical, romance",1,450
"A ​Sky Beyond the Storm (An Ember in the Ashes, #4)",Sabaa Tahir,5,ebook,"December 8, 2020",read,"YA, dystopia, fantasy, fiction, romance",1,516
"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin,5,ebook,"June 3, 2020","read, ♡","YA, fantasy, fiction, romance",1,513
"To Kill a Kingdom (Hundred Kingdoms, #1)",Alexandra Christo,4,Hardcover,"July 22, 2020",read,"YA, fantasy, fiction, romance",1,344
"Furyborn (Empirium, #1)",Claire Legrand,5,Paperback,"August 6, 2020","read, ♡","Adult, YA, fantasy, fiction, romance",1,501
"These Violent Delights (These Violent Delights, #1)",Chloe Gong,5,ebook,"January 28, 2021","read, ♡","YA, fantasy, fiction, historical, mystery, romance",1,449
"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,5,ebook,"September 5, 2020","read, ♡","Adult, fantasy, fiction, romance",1,637
"The Cruelest Mercy (The Kinder Poison, #2)",Natalie Mae,5,ebook,"September 13, 2021","read, ♡","YA, fantasy, fiction, romance",1,384
"Kingsbane (Empirium, #2)",Claire Legrand,5,ebook,"August 18, 2020","read, ♡","Adult, YA, fantasy, fiction, romance",1,608
"Lightbringer (Empirium, #3)",Claire Legrand,5,ebook,"October 18, 2020","read, ♡","Adult, YA, fantasy, fiction, romance",1,592
"Our Violent Ends (These Violent Delights, #2)",Chloe Gong,5,ebook,"November 18, 2021","read, ♡","YA, fantasy, fiction, historical, romance",1,494
"Kingdom of the Cursed (Kingdom of the Wicked, #2)",Kerri Maniscalco,5,ebook,"October 8, 2021","read, ♡","Adult, fantasy, romance",1,437
"Feather (Angels of Elysium, #1)",Olivia Wildenstein,5,ebook,"July 29, 2021",read,"Adult, fantasy, romance",1,486
"Starlight (Angels of Elysium, #3)",Olivia Wildenstein,5,ebook,"January 10, 2022","read, ♡","Adult, fantasy, romance",1,534
"Kill Switch (Devil's Night, #3)",Penelope Douglas,4,ebook,"September 17, 2021","read, ♡","Adult, contemporary, dark, romance",1,668
"The Mistake (Off-Campus, #2)",Elle Kennedy,4,ebook,"August 25, 2021",read,"Adult, contemporary, fiction, romance, sports",2,296
"Redeemed (Dirty Air, #4)",Lauren Asher,5,ebook,"September 8, 2021",read,"Adult, contemporary, fiction, romance, sports",1,423
"Throttled (Dirty Air, #1)",Lauren Asher,5,ebook,"September 2, 2021","read, ♡","Adult, contemporary, fiction, romance, sports",1,355
"Wrecked (Dirty Air, #3)",Lauren Asher,5,ebook,"September 6, 2021",read,"Adult, contemporary, fiction, romance, sports",1,584
"Collided (Dirty Air, #2)",Lauren Asher,5,ebook,"August 29, 2021","read, ♡","Adult, contemporary, fiction, romance, sports",1,560
From Lukov with Love,Mariana Zapata,5,ebook,"January 20, 2022","read, ♡","Adult, contemporary, fiction, romance, sports",1,493
"Shadow Princess (Zodiac Academy, #4)",Caroline Peckham,5,ebook,"December 31, 2021",read,"Adult, fantasy, romance",1,724
"Fated Throne (Zodiac Academy, #6)",Caroline Peckham,5,ebook,"February 6, 2022",read,"Adult, fantasy, romance",1,823
"Cursed Fates (Zodiac Academy, #5)",Caroline Peckham,5,ebook,"February 4, 2022",read,"Adult, fantasy, romance",1,886
"Twisted Hate (Twisted, #3)",Ana Huang,4,ebook,"February 25, 2022","read, ♡","Adult, contemporary, dark, fiction, romance",1,522
"The Spanish Love Deception (Love Deception, #1)",Elena  Armas,5,Paperback,,read,"Adult, contemporary, romance",1,448
"A Reaper at the Gates (An Ember in the Ashes, #3)",Sabaa Tahir,5,ebook,"July 9, 2019","read, ♡","YA, dystopia, fantasy, fiction, romance",2,458
"Hideaway (Devil's Night, #2)",Penelope Douglas,5,ebook,"January 1, 2021","read, ♡","Adult, contemporary, dark, romance",1,466
"A Torch Against the Night (An Ember in the Ashes, #2)",Sabaa Tahir,5,ebook,"June 23, 2019","read, ♡","YA, dystopia, fantasy, fiction, romance",1,452
"Ignite Me (Shatter Me, #3)",Tahereh Mafi,5,ebook,"June 21, 2020","read, ♡","YA, dystopia, fantasy, fiction, romance",1,408
"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,5,ebook,"June 16, 2019","read, ♡","YA, dystopia, fantasy, fiction, romance",1,446
"The Young Elites (The Young Elites, #1)",Marie Lu,5,Hardcover,,"read, ♡","YA, dystopia, fantasy, fiction, romance, science fiction",1,355
"Champion (Legend, #3)",Marie Lu,5,Paperback,,"read, ♡","YA, dystopia, fantasy, fiction, romance, science fiction",1,369
"Prodigy (Legend, #2)",Marie Lu,5,Paperback,,"read, ♡","YA, dystopia, fantasy, fiction, romance, science fiction",1,371
"Legend (Legend, #1)",Marie Lu,5,Paperback,,"read, ♡","YA, dystopia, fantasy, fiction, romance, science fiction",1,305
"Kiss the Sky (Calloway Sisters, #1)",Krista Ritchie,5,ebook,"May 2, 2022","read, ♡","Adult, contemporary, fiction, romance",1,443
"Nightfall (Devil's Night, #4)",Penelope Douglas,5,ebook,"September 22, 2021","read, ♡","Adult, contemporary, dark, romance",1,752
"Heart of the Sun Warrior (The Celestial Kingdom, #2)",Sue Lynn Tan,0,Hardcover,,,,0,466
"The Keeper of Night (The Keeper of Night, #1)",Kylie Lee Baker,0,Paperback,,,,0,384
Darling Venom,Parker S. Huntington,4,ebook,"September 2, 2022",read,"Adult, contemporary, dark, romance",1,712
"Gilded (Gilded, #1)",Marissa Meyer,3,ebook,"September 2, 2022",read,"YA, fantasy, fiction, romance",1,502
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4,Audiobook,"August 27, 2022",read,"Adult, YA, fantasy, fiction, romance",1,626
"Through My Window (Hidalgos, #1)",Ariana Godoy,3,ebook,"August 25, 2022",read,"Adult, YA, contemporary, fiction, romance",1,464
The Girl Who Fell Beneath the Sea,Axie Oh,4,ebook,"August 19, 2022",read,"YA, fantasy, fiction, historical, romance",1,325
"Secretly Yours (A Vine Mess, #1)",Tessa Bailey,0,Paperback,,,,0,384
Carrie Soto Is Back,Taylor Jenkins Reid,0,Hardcover,,,,0,384
Archer's Voice,Mia Sheridan,0,ebook,,,,0,377
"The Simple Wild (Wild, #1)",K.A. Tucker,0,Paperback,,,,0,390
The Summer of Broken Rules,K.L. Walther,0,Paperback,,,,0,359
One for My Enemy,Olivie Blake,0,,,,,0,427
Masters of Death,Olivie Blake,0,,,,,0,349
"Last Violent Call (Secret Shanghai, #3.5)",Chloe Gong,0,Hardcover,,,,0,240
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,3,Audiobook,"July 21, 2022",read,"Adult, YA, fantasy, fiction, romance",1,419
From the Mouths of Sirens (Myths of Revelore #1),Abigail Hair,0,Hardcover,,,,0,300
Every Summer After,Carley Fortune,0,Paperback,,,,0,320
A Legend of Golden Shadows,Victoria Vredevoogd,0,,,,,0,412
Counting Down with You,Tashie Bhuiyan,3,ebook,"July 19, 2022",read,"YA, contemporary, fiction, romance",1,464
The Things We Leave Unfinished,Rebecca Yarros,0,Paperback,,,,0,400
Beach Read,Emily Henry,3,ebook,"July 16, 2022",read,"Adult, contemporary, fiction, romance",1,400
"The Liar's Crown (Dominions, #1)",Abigail Owen,0,Hardcover,,,,0,448
"Hunting Prince Dracula (Stalking Jack the Ripper, #2)",Kerri Maniscalco,3,ebook,"July 12, 2022",read,"YA, fantasy, fiction, historical, mystery, romance, thriller",1,448
"Magnolia Parks (Magnolia Parks Universe, #1)",Jessa Hastings,0,,,,,0,423
"Twisted Games (Twisted, #2)",Ana Huang,3,ebook,"July 2, 2022",read,"Adult, contemporary, dark, fiction, romance",1,456
"It's Not Summer Without You (Summer, #2)",Jenny Han,3,ebook,"June 26, 2022",read,"YA, contemporary, fiction, romance",1,275
"The Prison Healer (The Prison Healer, #1)",Lynette Noni,3,ebook,"June 19, 2022",read,"YA, fantasy, fiction, romance",1,416
"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",Kerri Maniscalco,3,ebook,"June 15, 2022",read,"YA, fantasy, fiction, historical, mystery, romance, thriller",1,337
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,3,ebook,"June 13, 2022",read,"YA, fantasy, fiction, romance",1,425
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4,ebook,"June 9, 2022",read,"YA, fantasy, fiction, romance",1,541
"A Million Kisses in Your Lifetime (Lancaster Prep, #2)",Monica  Murphy,0,Paperback,,,,0,552
"How the King of Elfhame Learned to Hate Stories (The Folk of the Air, #3.5)",Holly Black,3,ebook,"December 12, 2020",read,"YA, fantasy, fiction, romance",1,200
"Lady Midnight (The Dark Artifices, #1)",Cassandra Clare,0,Hardcover,,,,0,688
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4,ebook,"June 5, 2022",read,"YA, fantasy, fiction, romance",1,453
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4,ebook,"June 3, 2022",read,"YA, fantasy, fiction, romance",1,485
"The Viscount Who Loved Me: The 2nd Epilogue (Bridgertons, #2.5)",Julia Quinn,4,ebook,"June 1, 2022",read,"Adult, fiction, historical, romance",1,34
Empress of All Seasons,Emiko Jean,3,Audiobook,"May 29, 2022",read,"YA, fantasy, fiction, romance",1,384
The Ones We Burn,Rebecca Mix,0,Hardcover,,,,0,480
Josh and Hazel's Guide to Not Dating,Christina Lauren,3,ebook,"May 24, 2022",read,"Adult, contemporary, fiction, romance",1,309
"Ninth House (Alex Stern, #1)",Leigh Bardugo,2,ebook,"May 18, 2022",read,"Adult, contemporary, fantasy, fiction, mystery",1,461
"League of Liars (The League of Liars, #1)",Astrid Scholte,2,ebook,"May 21, 2022",read,"YA, fantasy, fiction, mystery, romance, thriller",1,438
Book Lovers,Emily Henry,0,Hardcover,,,,0,377
Something Wilder,Christina Lauren,0,Hardcover,,,,0,384
Daisy Jones & The Six,Taylor Jenkins Reid,0,Hardcover,,,,0,368
"Strike the Zither (Kingdom of Three, #1)",Joan He,0,Hardcover,,,,0,368
The Red Palace,June Hur,4,Audiobook,"May 9, 2022",read,"YA, fantasy, fiction, historical, mystery, romance, thriller",1,321
The Siren,Kiera Cass,2,ebook,,read,"YA, contemporary, fantasy, fiction, romance",1,276
You've Reached Sam,Dustin Thao,3,ebook,"May 8, 2022",read,"YA, contemporary, fantasy, fiction, romance",1,296
"Daughter of the Drowned Empire (Drowned Empire, #1)",Frankie Diane Mallis,0,ebook,,,,0,454
"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,0,Paperback,,,,0,397
"Hothouse Flower (Calloway Sisters, #2)",Krista Ritchie,3,ebook,"May 6, 2022",read,"Adult, contemporary, fiction, romance",1,479
"The Burning God (The Poppy War, #3)",R.F. Kuang,4,Audiobook,"May 2, 2022",read,"Adult, fantasy, fiction, historical",1,622
"Long Way Down (Calloway Sisters, #4)",Krista Ritchie,0,,,,,0,641
"Fuel the Fire (Calloway Sisters, #3)",Krista Ritchie,0,,,,,0,558
"The Drowning Faith (The Poppy War, #2.5)",R.F. Kuang,5,ebook,"April 24, 2022",read,"Adult, fantasy, fiction, historical",1,15
"Falling Away (Fall Away, #4)",Penelope Douglas,3,ebook,"April 23, 2022",read,"Adult, contemporary, dark, fiction, romance",1,429
"The Poppy War (The Poppy War, #1)",R.F. Kuang,4,Audiobook,"April 11, 2022",read,"Adult, fantasy, fiction, historical",1,545
"Falls Boys (Hellbent, #1)",Penelope Douglas,0,,,,,0,501
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,3,Paperback,"July 27, 2020",read,"YA, fantasy, fiction, science fiction",1,358
"Addicted to You (Addicted, #1)",Krista Ritchie,2,ebook,"April 6, 2022",read,"Adult, contemporary, fiction, romance",1,335
"Loveboat, Taipei (Loveboat, Taipei, #1)",Abigail Hing Wen,3,ebook,"September 16, 2021",read,"YA, contemporary, fiction, romance",1,432
"Loveboat Reunion (Loveboat, Taipei, #2)",Abigail Hing Wen,3,ebook,"April 4, 2022",read,"YA, contemporary, fiction, romance",1,400
"The Summer I Turned Pretty (Summer, #1)",Jenny Han,3,ebook,"April 2, 2022",read,"YA, contemporary, fiction, romance",1,276
"Paper Princess (The Royals, #1)",Erin Watt,4,ebook,"May 8, 2020",read,"Adult, contemporary, fiction, romance",1,370
"A Magic Steeped in Poison (The Book of Tea, #1)",Judy I. Lin,0,Hardcover,,,,0,374
"Rebel of the Sands (Rebel of the Sands, #1)",Alwyn Hamilton,3,ebook,"March 29, 2022",read,"YA, fantasy, fiction, romance",1,314
"Believe Me (Shatter Me, #6.5)",Tahereh Mafi,4,ebook,"March 23, 2022",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,177
"Skin of the Sea (Skin of the Sea, #1)",Natasha Bowen,3,ebook,"March 23, 2022",read,"YA, fantasy, fiction, historical, romance",1,336
"Imagine Me (Shatter Me, #6)",Tahereh Mafi,4,ebook,"March 20, 2022",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,450
"Jade City (The Green Bone Saga, #1)",Fonda Lee,0,Paperback,,,,0,540
"Lady of Darkness (Lady of Darkness, #1)",Melissa K. Roehrich,0,Paperback,,,,0,458
Gothikana,RuNyx,0,,,,,0,456
"Defy Me (Shatter Me, #5)",Tahereh Mafi,5,ebook,"March 17, 2022",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,357
Ace of Spades,Faridah Àbíké-Íyímídé,3,ebook,"March 17, 2022",read,"YA, contemporary, fiction, mystery, thriller",1,422
"Restore Me (Shatter Me, #4)",Tahereh Mafi,4,ebook,"March 16, 2022",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,448
"King of Battle and Blood (Adrian x Isolde, #1)",Scarlett St.  Clair,3,ebook,"March 15, 2022",read,"Adult, fantasy, fiction, romance",1,391
